timestamp,accX,accY,accZ,anvX,anvY,anvZ
19900,-2.11,-9.22,-0.84,-0.04,0.04,0.14
20000,-2.05,-9.17,-0.86,0.15,0.01,0.04
20100,-2.61,-9.49,-1.14,0.22,0.04,-0.14
20200,-2.49,-9.42,-1.1,0.04,0.01,-0.16
20300,-2.23,-9.5,-0.8,0.03,-0.09,-0.21
20400,-1.56,-9.64,-1.07,0.02,-0.18,-0.29
20500,-1.53,-9.63,-0.7,-0.06,-0.32,-0.39
20600,-1.17,-9.37,-0.47,0,-0.21,-0.13
20700,-1.47,-10.17,-0.78,0.07,-0.21,-0.25
20800,-0.64,-9.74,-0.09,-0.01,-0.05,-0.09
20900,-0.36,-9.07,0.28,0.11,-0.13,-0.06
21000,-0.43,-10,-0.58,0.13,-0.05,-0.31
21100,-0.02,-10.4,-0.63,0.12,-0.08,-0.07
21200,-0.13,-9.65,-0.04,0.05,0.07,0.01
21300,0.17,-9.92,-0.11,0.14,0.2,0
21400,0.34,-9.78,-0.68,0.21,-0.03,0.04
21500,-0.07,-10.46,-0.41,0.13,-0.02,0.08
21600,-0.76,-10.15,-0.07,-0.11,-0.28,0.17
21700,-0.09,-9.47,1.07,0.04,0.35,0.3
21800,-0.56,-9.36,0.9,0.24,0.38,0.48
21900,-0.99,-9.67,0.62,-0.12,0.05,0.18
22000,-1.63,-9.63,-0.45,0.01,0.25,0.16
22100,-2.08,-9.84,0.15,-0.14,0,0.36
22200,-1.66,-9.33,0.79,-0.14,0.14,0.54
22300,-2.11,-9.11,0.66,0.07,-0.41,0.21
22400,-2.83,-9.14,0.53,0.07,0.12,0.15
22500,-2.3,-8.79,0.55,0.16,0.28,0.03
22600,-2.89,-9.44,0.49,0.14,0.02,-0.04
22700,-2.63,-8.81,0.61,0.21,0.14,-0.12
22800,-2.69,-9.17,1.03,0.12,-0.05,-0.42
22900,-2.53,-9.47,0.73,0.08,-0.34,-0.37
23000,-1.41,-8.95,1.6,0.15,0.01,-0.36
23100,-0.93,-9.23,1.96,0.12,0.01,-0.35
23200,-0.61,-9.42,1.81,0.08,0.31,-0.38
23300,-0.15,-8.92,2.21,-0.1,-0.09,-0.35
23400,-0.11,-9.37,1.87,-0.01,-0.01,-0.37
23500,-0.23,-9.63,0.87,-0.16,-0.19,-0.31
23600,0.67,-9.57,0.14,-0.41,-0.67,-0.36
23700,-0.01,-9.79,1.66,-0.1,-0.24,-0.02
23800,-0.33,-10.07,0.76,0.05,0.11,0.2
23900,0.06,-10.46,-0.1,0.2,0.32,0.42
24000,0.18,-9.66,1.14,-0.12,0.02,0.19
24100,-0.67,-9.58,1.92,0.2,0.26,0.49
24200,-0.44,-9.45,0.62,-0.03,0.15,0.05
24300,-0.44,-9.76,0.22,0.15,0.26,0.36
24400,-1.65,-10.07,0.72,0.01,0.05,0.4
24500,-1.73,-9.64,0.14,-0.1,-0.12,0.36
24600,-2.4,-8.89,1.35,-0.14,0.1,0.18
24700,-1.66,-9.04,1.01,-0.22,0.22,0.1
24800,-1.8,-8.87,0.28,-0.11,0.03,0.29
24900,-3.25,-9.72,-0.38,-0.27,-0.16,0.14
25000,-3.24,-9.76,-0.84,-0.43,-0.33,0.17
25100,-2.49,-9.01,0.25,-0.38,-0.52,-0.02
25200,-2.48,-9.05,1.09,-0.12,-0.1,-0.26
25300,-1.88,-9.14,0.21,0.08,-0.12,-0.32
25400,-1.98,-9.58,-0.09,0.07,0.03,-0.38
25500,-1.74,-9.54,-0.1,0.17,-0.13,-0.31
25600,-1.18,-9.62,-0.07,0.19,-0.09,-0.45
25700,-0.94,-9.69,0.31,0.04,0.08,-0.34
25800,-0.88,-9.76,0.23,-0.03,0.14,-0.41
25900,-0.62,-9.56,0.06,-0.08,0.17,-0.29
26000,-0.15,-10,0.29,0.04,0.04,-0.16
26100,0.03,-10.03,-0.78,-0.03,0.01,-0.24
26200,-0.34,-10.03,-0.83,-0.24,-0.32,-0.03
26300,-0.48,-10,-0.17,-0.19,-0.62,0.25
26400,-0.19,-9.84,-0.45,-0.19,-0.19,0.26
26500,0.05,-9.6,0.27,-0.23,-0.11,0.27
26600,-0.28,-9.55,-0.26,0,-0.05,0.36
26700,-1.13,-9.86,-0.06,0.03,0.2,0.15
26800,-1.6,-10.33,-1.46,-0.17,0.25,0.26
26900,-1.14,-9.89,-0.92,-0.18,0.01,0.45
27000,-1.97,-9.36,-0.65,-0.14,0.01,0.36
27100,-1.79,-9.08,-0.08,-0.05,0.33,0.25
27200,-2.27,-9.04,-0.74,0.07,0.22,0.33
27300,-3,-9.42,-0.93,0.07,0.09,0.09
27400,-3.27,-9.31,-1.57,-0.18,-0.08,0.12
27500,-3.27,-9.42,-1.69,-0.21,-0.24,0.01
27600,-3,-9.35,-1.47,-0.36,-0.27,-0.26
27700,-2.98,-9.58,-1.64,-0.09,-0.33,-0.01
27800,-2.81,-9.58,-1.75,0.04,0.2,-0.24
27900,-2.62,-9.88,-2.06,-0.09,-0.27,-0.17
28000,-2.39,-10,-1.71,-0.14,-0.17,-0.33
28100,-1.7,-10.14,-1.29,-0.04,-0.35,-0.31
28200,-1.09,-9.79,-1.04,-0.04,-0.12,-0.4
28300,-1.33,-9.77,-1.2,0.01,0.13,-0.37
28400,-0.85,-10.04,-0.75,-0.13,-0.21,-0.21
28500,-1.01,-9.59,-0.88,-0.13,0.06,-0.14
28600,-0.67,-10.03,-1.87,-0.01,0.05,-0.02
28700,-0.49,-9.99,-2,-0.14,-0.06,0.01
28800,-0.09,-9.86,-2.42,-0.21,-0.21,-0.13
28900,-0.62,-9.75,-1.39,-0.33,-0.19,0.13
29000,-0.74,-9.6,-1.83,-0.15,0.24,0.02
29100,-0.46,-9.9,-2.12,0.03,0.25,0.01
29200,-0.32,-10.24,-3,0.23,0.22,0.07
29300,-0.41,-10.45,-3.29,0.05,-0.18,0.44
29400,-0.38,-9.79,-2.77,0.05,0.19,0.34
29500,-0.62,-9.57,-2.37,0.04,0.24,0.57
29600,-1.83,-9.51,-1.96,0.12,0.39,0.48
29700,-2.19,-9.75,-2.87,0.04,0.2,0.6
29800,-2.39,-9.54,-2.73,-0.2,0.05,0.32
29900,-2.49,-9.27,-3.01,-0.34,0.11,-0.09
30000,-2.41,-9.09,-3.01,-0.43,-0.12,0.14
30100,-2.81,-9.11,-2.83,-0.29,-0.22,0
30200,-2.86,-8.89,-2.34,-0.1,-0.03,-0.23
30300,-2.67,-9.43,-2.82,-0.09,-0.22,-0.28
30400,-2.65,-9.46,-3.24,-0.12,-0.09,-0.3
30500,-1.9,-9.73,-3.63,-0.18,-0.3,-0.3
30600,-1.58,-9.65,-3.41,-0.12,-0.31,-0.25
30700,-1.7,-9.62,-2.67,-0.02,-0.48,-0.1
30800,-1.81,-9.87,-3.17,0.01,-0.23,-0.18
30900,-0.67,-9.43,-2.82,0.14,0.5,-0.28
31000,-0.6,-9.74,-3.21,0.08,0.02,-0.4
31100,-1.6,-10.35,-2.91,0.06,-0.5,-0.63
31200,-0.27,-9.99,-2.7,0.3,0,-0.06
31300,0.32,-9.82,-2.72,0.21,0.32,-0.04
31400,0.26,-10.26,-2.81,0.16,-0.01,0.15
31500,-0.04,-10.3,-3.01,0.1,0.08,0.31
31600,0.45,-10.08,-2.74,-0.12,0.26,0.26
31700,-0.24,-9.95,-2.45,-0.14,0.09,0.47
31800,-0.66,-9.84,-2.19,0.01,0.27,0.63
31900,-0.54,-10.3,-2.98,-0.04,-0.14,0.44
32000,-1.57,-9.58,-2.81,0.12,0.44,0.62
32100,-1.53,-9.8,-2.22,0.01,0.53,0.55
32200,-1.65,-9,-1.88,0.01,0.27,0.44
32300,-1.71,-9.1,-2.19,0.19,0.38,0.15
32400,-2.69,-9.03,-2.06,0.22,0.27,-0.14
32500,-2.71,-9.37,-2.1,0.22,0.03,-0.14
32600,-2.31,-9.59,-1.21,0.2,-0.08,-0.26
32700,-1.98,-9.98,-1.57,0.17,-0.02,-0.53
32800,-1.68,-10.24,-1.54,-0.08,-0.25,-0.59
32900,-1.24,-10.32,-1.41,-0.13,-0.35,-0.61
33000,-0.32,-10.12,-0.99,-0.12,-0.56,-0.17
33100,0.24,-9.75,-0.45,-0.07,-0.07,-0.1
33200,-0.06,-9.58,-0.14,0.02,0.11,0.01
33300,-0.61,-9.81,0.08,0.11,0.23,0.07
33400,-0.07,-10.01,-0.59,-0.01,0.2,0.02
33500,-0.05,-10.28,-0.31,-0.01,-0.09,0.14
33600,-0.52,-10.27,-0.78,-0.02,0.11,0.33
33700,-0.12,-9.97,-0.59,-0.18,0.16,0.28
33800,-0.35,-9.65,0.23,-0.12,0.48,0.41
33900,-0.82,-9.71,-0.21,0.19,0.42,0.24
34000,-1.39,-9.94,-1.01,0.02,0.35,0.25
34100,-1.1,-10.3,-1.34,-0.19,0.06,0.05
34200,-1.13,-9.56,-1.37,-0.2,-0.06,0.24
34300,-1.61,-9.24,-0.77,0.06,0.28,0.32
34400,-2.32,-9.43,-0.87,0.15,0.53,0.47
34500,-3.22,-9.47,-0.8,0.08,0.12,0.29
34600,-2.71,-9.21,-0.59,-0.03,0.03,0.13
34700,-2.87,-9.13,-0.95,0.21,0.24,0.03
34800,-3.32,-9.44,-1.26,0.15,0,0.05
34900,-3.25,-9.04,-0.64,0.11,0.14,-0.03
35000,-2.86,-8.75,-0.38,0.19,0.14,0.06
35100,-2.68,-9.14,-0.1,0.18,-0.06,-0.09
35200,-2.9,-9.52,-0.35,0.09,-0.14,-0.15
35300,-1.89,-9.12,0.15,0.26,0.02,-0.31
35400,-2.12,-9.83,-0.1,0.2,-0.22,-0.61
35500,-1.41,-9.45,1.25,0.07,-0.2,-0.36
35600,-1.19,-9.84,0.62,-0.06,-0.3,-0.32
35700,-0.7,-9.63,0.59,0.06,0.09,-0.27
35800,-0.1,-10.01,-0.41,-0.22,-0.33,-0.24
35900,-0.07,-10.3,-0.11,-0.31,-0.39,-0.1
36000,-0.52,-10.31,-0.41,-0.76,-0.03,-0.2
36100,0.6,-9.57,0.64,-0.34,-0.28,-0.1
36200,0.11,-10.06,0.21,-0.09,-0.08,0.29
36300,0.21,-10.03,-0.88,-0.21,-0.12,0.1
36400,-0.15,-10.25,-1.42,-0.25,-0.15,0.25
36500,-0.35,-10.19,-0.79,-0.12,-0.14,0.4
36600,-1.07,-9.96,-0.26,-0.09,0.03,0.43
36700,-0.96,-9.75,-0.72,-0.05,0.28,0.36
36800,-1.34,-9.89,-0.35,-0.22,-0.18,0.22
36900,-1.5,-9.9,-0.5,-0.27,-0.54,0.42
37000,-1.86,-9.18,-1.01,-0.07,0.04,0.41
37100,-2.27,-9.32,-1.12,-0.16,0.07,0.22
37200,-2.41,-9.47,-1.21,-0.29,-0.19,0.2
37300,-2.81,-8.81,-0.38,-0.38,-0.09,0.09
37400,-2.14,-9.17,-0.7,-0.18,0.01,-0.03
37500,-2.32,-8.95,-0.74,-0.11,-0.22,-0.09
37600,-2.34,-9.07,-0.66,-0.02,-0.03,-0.24
37700,-1.79,-9.18,-0.92,-0.01,-0.12,-0.22
37800,-1.93,-9.27,-0.71,0.02,-0.03,-0.3
37900,-1.73,-9.36,-0.98,0.03,-0.18,-0.32
38000,-1.58,-9.86,-1.03,0.05,0.04,-0.49
38100,-1.21,-9.83,-1.77,-0.11,0.04,-0.41
38200,-1.26,-10.35,-1.6,-0.04,-0.22,-0.24
38300,-0.92,-10.25,-1.69,-0.08,0.12,-0.32
38400,-0.28,-9.9,-1.54,-0.21,0,-0.25
38500,-0.13,-10.12,-1.5,-0.08,-0.25,-0.1
38600,-0.06,-9.77,-1.34,-0.06,-0.13,-0.05
38700,0.9,-9.72,-1.64,-0.1,-0.12,-0.06
38800,-0.13,-9.9,-1.55,-0.01,-0.12,-0.04
38900,-0.14,-10.06,-2.27,-0.17,-0.13,0.08
39000,-0.15,-10.32,-2.34,-0.1,-0.18,0.16
39100,0.28,-9.84,-2.35,-0.16,-0.03,0.12
39200,-0.5,-9.76,-2.03,-0.02,0.15,0.45
39300,-0.22,-9.6,-1.7,0.09,0.23,0.39
39400,-0.86,-9.63,-1.82,0.05,0.22,0.1
39500,-0.61,-9.9,-2.39,0.12,0.4,0.31
39600,-1.23,-10.01,-2.82,0.05,0.33,0.41
39700,-0.9,-9.72,-2.27,-0.27,0.04,0.29
39800,-2.16,-9.53,-1.6,0.08,0.25,0.39
39900,-2.63,-9.5,-2.16,0.16,0.28,0.14
40000,-2.36,-9.57,-2.34,0,-0.08,0.16
40100,-2.58,-9.43,-2.33,0,0,0.11
40200,-2.83,-9.33,-2.03,-0.04,0.11,0.08
40300,-2.71,-8.92,-2.05,-0.31,-0.18,0.17
40400,-2.91,-8.85,-1.72,-0.21,-0.17,0.03
40500,-2.66,-9.3,-2.45,-0.16,-0.12,-0.14
40600,-2.79,-9.42,-3.03,-0.08,-0.05,-0.18
40700,-2.32,-9.36,-2.91,-0.19,-0.18,-0.14
40800,-2.49,-9.32,-2.55,-0.04,-0.2,-0.3
40900,-2.17,-9.42,-2.4,0.01,-0.23,-0.28
41000,-1.45,-9.81,-2.66,-0.08,-0.1,-0.36
41100,-1.48,-9.96,-2.61,-0.16,-0.09,-0.27
41200,-1.56,-9.95,-2.31,0,0.15,-0.3
41300,-1.06,-9.94,-2.84,0,0.16,-0.23
41400,-0.77,-9.76,-2.81,-0.13,-0.15,-0.2
41500,-0.22,-9.81,-2.82,-0.23,-0.12,-0.15
41600,-0.5,-9.55,-3.14,-0.14,-0.23,-0.06
41700,-0.41,-9.56,-3.17,-0.08,-0.31,0
41800,-0.85,-9.51,-3.57,0,-0.48,-0.04
41900,-0.61,-9.42,-2.87,-0.1,-0.23,0.13
42000,-1.86,-9.86,-2.99,0.02,0.21,0.26
42100,-0.91,-9.62,-3.12,-0.06,0.24,0.03
42200,-1.72,-9.84,-3.27,0.04,0.22,0.16
42300,-1.52,-9.9,-3.72,0,0.25,0.37
42400,-1.57,-9.4,-3.45,0.01,0.13,0.23
42500,-1.97,-9.44,-3.26,-0.01,-0.07,0.21
42600,-1.81,-9.34,-3.83,0.14,0.33,0.29
42700,-2.06,-9.36,-3.45,0.05,0.04,0.21
42800,-2.65,-9.17,-3.22,0.22,0.12,0.24
42900,-2.59,-9.13,-3.24,0.13,0.29,0.04
43000,-2.78,-9.28,-3.2,0.09,0.18,-0.04
43100,-3.03,-9.49,-3.91,0.06,0.06,-0.17
43200,-2.7,-9.21,-3.49,-0.19,0.08,-0.24
43300,-2.76,-9.7,-3.41,-0.04,-0.07,-0.15
43400,-2.1,-9.32,-3.28,-0.07,-0.02,-0.02
43500,-1.78,-9.3,-2.98,-0.09,-0.07,-0.03
43600,-2.07,-9.35,-3.29,-0.07,-0.13,-0.16
43700,-2.29,-9.46,-3.04,-0.11,-0.16,-0.19
43800,-1.62,-9.61,-3.02,-0.02,-0.18,-0.13
43900,-1.51,-9.43,-2.93,-0.05,-0.04,-0.2
44000,-1.58,-9.55,-2.78,0.01,-0.09,-0.23
44100,-1.47,-9.61,-2.67,0.1,0.07,-0.26
44200,-1.14,-9.47,-2.27,0.02,-0.06,-0.17
44300,-0.34,-9.67,-2.46,0.04,-0.04,-0.21
44400,-0.7,-9.81,-2.63,0.05,-0.18,-0.24
44500,-0.59,-9.91,-2.48,0.09,-0.17,-0.13
44600,-0.09,-9.85,-2.21,0.03,-0.26,-0.13
44700,-0.38,-10,-2.22,0.13,-0.04,-0.12
