timestamp,accX,accY,accZ,anvX,anvY,anvZ
25900,-0.67,-8.38,-1.99,0.28,-0.37,0.44
26000,-0.51,-8.37,-1.62,-0.29,-0.44,-0.06
26100,0.13,-10.2,-1.43,0.22,-0.13,0.21
26200,0.05,-9.38,-1.33,-0.01,0.04,-0.26
26300,0.08,-9.94,-0.65,0.15,0.3,-0.07
26400,0.6,-9.45,-1.28,-0.02,-0.01,-0.29
26500,-0.03,-10.92,-0.96,0.09,0.24,-0.15
26600,0.31,-11.32,-2.02,-0.07,0.15,0.31
26700,0.63,-9.86,-1.6,-0.08,-0.11,0.31
26800,-0.14,-10.42,-1.54,0.17,0.06,0.33
26900,-0.05,-9.85,-1.64,-0.2,-0.14,0.02
27000,-0.24,-8.68,-1.46,0.04,0.06,-0.04
27100,0.32,-9.71,-0.76,-0.11,-0.11,-0.18
27200,-0.16,-10.05,-0.97,0.31,0.14,-0.44
27300,0,-10.22,-0.68,-0.03,0.25,-0.09
27400,0.43,-9.85,-1.03,0.03,0.1,-0.25
27500,-0.18,-10.69,-1.32,0.07,0.28,-0.11
27600,0.47,-11.21,-0.78,-0.36,0.15,0.22
27700,0.23,-10.49,-1.6,0.1,0.4,0.23
27800,-1.11,-9.25,-1.37,-0.25,0.14,0.02
27900,-0.9,-9.28,-0.83,-0.08,0.34,0.41
28000,-0.84,-9.19,-1.4,0.11,0.45,0.01
28100,-0.03,-8.77,-0.76,-0.03,-0.04,-0.14
28200,-0.37,-9.53,-1.01,0.24,-0.08,-0.26
28300,0,-9.61,-0.59,-0.05,0.02,-0.07
28400,-0.15,-9.99,-1,0.09,-0.21,-0.59
28500,0.13,-10.44,-0.14,-0.01,-0.13,0.02
28600,0.67,-11.39,-0.6,-0.19,0.13,0.22
28700,0.18,-10.89,-0.8,0.13,0.25,-0.1
28800,0.32,-9.04,-0.7,-0.18,0.17,0.42
28900,-0.27,-9.23,-0.67,-0.18,-0.1,-0.08
29000,-0.29,-9.37,-0.81,0.11,0.1,0.01
29100,-0.27,-9.84,-1.32,-0.07,-0.19,-0.33
29200,0.21,-9.1,-0.98,-0.35,-0.16,0.05
29300,0.31,-8.74,-0.91,-0.03,-0.21,-0.07
29400,1.07,-9.83,-0.88,0.04,-0.33,-0.04
29500,0.25,-10.23,-0.91,-0.18,-0.04,-0.34
29600,0.79,-10.86,-1.07,-0.06,-0.02,0.15
29700,0.64,-11.33,-1.06,0.03,0.32,0.03
29800,0.9,-10.21,-0.78,-0.21,0.37,0.23
29900,-0.26,-8.99,-0.22,0.06,0.73,0.1
30000,-0.21,-9.78,-0.36,0.29,0.52,0.67
30100,-0.82,-10.18,-1.16,0.12,0.87,-0.14
30200,-0.34,-9.07,-1.45,-0.22,0,0.24
30300,-0.4,-9.08,-1.24,0.19,-0.07,-0.3
30400,-0.28,-9.85,-0.69,-0.04,-0.27,-0.38
30500,-0.94,-10.46,-0.98,0.09,0.03,-0.34
30600,-0.66,-9.95,-0.92,-0.34,0.12,-0.07
30700,-0.14,-11.19,-0.17,-0.29,0.23,0.25
30800,0.08,-10.83,-0.73,-0.31,0.15,0.02
30900,-0.66,-9.4,-1.05,-0.39,-0.01,0.42
31000,-0.66,-9.55,-1.57,-0.29,0.04,0.08
31100,-0.71,-9.25,-1.54,-0.03,0.16,0.09
31200,-0.7,-9.4,-1.79,-0.09,0,0.03
31300,-0.98,-9.21,-2.09,0.33,0.22,0.05
31400,-0.46,-9.68,-2.5,0.03,0.07,-0.27
31500,-0.27,-9.84,-2.09,0.15,0.11,-0.15
31600,-0.47,-10.05,-1.94,-0.09,-0.15,-0.41
31700,-1.04,-10.32,-1.64,-0.01,-0.04,-0.35
31800,0.03,-12.36,-1.26,-0.28,0.26,0.2
31900,-0.15,-10,-0.92,-0.16,0.03,0.13
32000,-1.11,-9.98,-1.68,-0.15,0.13,0.32
32100,-0.35,-10.06,-1.56,0.2,0.15,0.56
32200,-0.72,-8.85,-2.43,0,0.03,0.19
32300,-0.59,-7.94,-2.57,0.12,-0.05,-0.31
32400,-0.75,-10.58,-1.88,0.22,0.15,-0.24
32500,-0.13,-9.22,-2.43,-0.05,0.02,-0.17
32600,0.06,-9.6,-1.37,0,0.06,-0.19
32700,-0.77,-10.57,-1.49,-0.04,-0.09,-0.11
32800,-0.13,-12.1,-0.61,-0.4,-0.07,0.27
32900,-0.38,-11.21,-0.53,-0.05,0.19,0.27
33000,-0.41,-9.52,-2.11,0.37,0.3,0.32
33100,-0.65,-8.29,-1.44,-0.37,0.15,0.16
33200,-0.33,-8.98,-2.2,0.55,0.25,0
33300,-1.08,-8.41,-1.9,-0.08,-0.12,-0.18
33400,-0.26,-9.56,-2.21,0.34,0.01,-0.13
33500,-0.39,-9.92,-1.41,0.02,-0.21,-0.06
33600,-0.2,-11.14,-1.34,0.17,-0.11,0.08
33700,-0.52,-10.11,-1.11,-0.11,-0.15,-0.14
